gre_score,toefl_score,uni_rating,sop,lor,cgpa,research,accept_status,severity_cons,dur_cons,util_cons,prin_up,prin_vi,moral_int,ESA,CST,accept_status_moral
337,118,4,4.5,4.5,9.65,1,1,0.956485294,0.772,0.979836601,0.939044118,0,0.933333333,0.872009368,0.214371114,1
324,107,4,4,4.5,8.87,1,1,0.154741176,0.7096,0.910535948,0.884985294,0,0.9,0.61609939,0.222791159,1
316,104,3,3,3.5,8,1,1,0.256470588,0.48,0.865359477,0.757352941,0,0.766666667,0.549076253,0.20199083,1
322,110,3,3.5,2.5,8.67,1,1,0.1789,0.5202,0.91024183,0.753514706,0,0.733333333,0.548105664,0.207246008,1
314,103,2,2,3,8.21,0,1,0.241782353,0.19704,0.867620915,0.686132353,0,0.333333333,0.429942126,0.197700209,1
330,115,5,4.5,3,9.34,1,1,0.093470588,0.934,0.95430719,0.851147059,0,0.833333333,0.663232505,0.232166887,1
321,109,3,3,4,8.2,1,1,0.225823529,0.492,0.890816993,0.791029412,0,0.8,0.556253159,0.20783555,1
308,101,2,3,4,7.9,0,1,0.284352941,0.1896,0.845849673,0.773970588,0,0.466666667,0.451198344,0.200078905,1
302,102,1,2,1.5,8,0,0,0.289411765,0.096,0.423039216,0.597058824,1,0.233333333,-0.202018301,0.196958853,0
323,108,3,3.5,3,8.6,0,0,0.183,0.3096,0.903333333,0.7775,1,0.433333333,0.389115556,0.201247993,1
325,106,3,3.5,4,8.4,1,0,0.197058824,0.504,0.893071895,0.823970588,1,0.833333333,0.477685839,0.190134714,1
327,111,4,4,4.5,9,1,1,0.134411765,0.72,0.928921569,0.890441176,0,0.9,0.61879085,0.225398798,1
328,112,4,4,4.5,9.1,1,1,0.122117647,0.728,0.936013072,0.893676471,0,0.9,0.619795643,0.22684277,1
307,109,3,4,3,8,1,1,0.277647059,0.48,0.870424837,0.775735294,0,0.8,0.560211329,0.203590174,1
311,104,3,3.5,2,8.2,1,1,0.249941176,0.492,0.867124183,0.708676471,0,0.7,0.541778214,0.197752779,1
314,105,3,3.5,2.5,8.3,0,0,0.233470588,0.2988,0.876176471,0.738382353,1,0.4,0.386656471,0.196748691,1
317,107,3,4,3,8.7,0,1,0.188852941,0.3132,0.898006536,0.800588235,0,0.466666667,0.474729586,0.205054304,1
319,106,3,4,3,8,1,1,0.249411765,0.48,0.873856209,0.784558824,0,0.8,0.554302832,0.205475225,1
318,110,3,4,3,8.8,0,1,0.176941176,0.3168,0.910653595,0.803823529,0,0.466666667,0.476144488,0.206689451,1
303,102,3,3.5,3,8.5,0,1,0.2425,0.306,0.431862745,0.760294118,0,0.433333333,-0.356920261,0.175546057,0
312,107,3,3,2,7.9,1,1,0.275058824,0.474,0.866437908,0.676911765,0,0.666666667,0.538285403,0.19433058,1
325,114,4,3,2,8.4,0,1,0.197058824,0.4032,0.915294118,0.698970588,0,0.333333333,0.486731765,0.200121613,1
328,116,5,5,5,9.5,1,1,0.083529412,0.95,0.960457516,0.978676471,0,1,0.690023965,0.244463069,1
334,119,5,5,4.5,9.7,1,1,0.047117647,0.97,0.981339869,0.963088235,0,0.966666667,0.687302397,0.246744018,1
336,119,5,4,3.5,9.8,1,1,0.031529412,0.98,0.986633987,0.867058824,0,0.833333333,0.668874946,0.240788606,1
340,120,5,4.5,4.5,9.6,1,1,0.04,0.96,0.986666667,0.94,0,0.933333333,0.679644444,0.245006207,1
322,109,5,4.5,3.5,8.8,0,1,0.166588235,0.528,0.911797386,0.856764706,0,0.533333333,0.539577342,0.208988361,1
298,98,2,1.5,2.5,7.5,1,0,0.342647059,0.3,0.407189542,0.606617647,1,0.6,-0.296485839,0.1775115,0
295,93,1,2,2,7.2,0,0,0.375294118,0.0864,0.39377451,0.596911765,0,0.266666667,-0.297211242,0.165488468,0
310,99,2,1.5,2,7.3,0,0,0.334411765,0.1752,0.822254902,0.585441176,1,0.233333333,0.340666405,0.200523899,1
300,97,2,3,3,8.1,1,1,0.285294118,0.324,0.416781046,0.723088235,0,0.733333333,-0.390133769,0.184168888,0
327,103,3,4,4,8.3,1,1,0.201735294,0.498,0.883366013,0.847941176,0,0.866666667,0.559328976,0.214368173,1
338,118,4,3,4.5,9.4,1,1,0.065529412,0.752,0.97248366,0.858529412,0,0.833333333,0.612685839,0.229136897,1
340,114,5,4,4,9.6,1,1,0.04,0.96,0.97,0.89,0,0.866666667,0.665866667,0.240240745,1
331,112,5,4,5,9.8,1,1,0.045941176,0.98,0.962287582,0.938382353,0,0.933333333,0.67993159,0.244311248,1
320,110,5,5,5,9.2,1,1,0.134117647,0.92,0.925947712,0.965294118,0,1,0.685240959,0.238081446,1
300,105,1,1,2,7.8,0,0,0.311764706,0.0936,0.422892157,0.565588235,1,0.2,-0.202115556,0.197057978,0
304,105,1,3,1.5,7.5,0,0,0.329411765,0.09,0.419852941,0.636029412,1,0.3,-0.218686275,0.195219872,0
307,108,2,4,3.5,7.7,0,0,0.304735294,0.1848,0.857647059,0.793235294,1,0.5,0.382707451,0.197950979,1
308,110,3,3.5,3,8,1,0,0.275294118,0.48,0.874183007,0.751470588,1,0.766666667,0.475978214,0.180021995,1
316,105,2,2.5,2.5,8.2,1,0,0.237882353,0.328,0.874803922,0.687352941,1,0.666666667,0.412504575,0.189637969,1
313,107,2,2.5,2,8.5,1,0,0.2175,0.34,0.887418301,0.667647059,1,0.633333333,0.409389978,0.190861381,1
332,117,4,4.5,4,9.1,0,1,0.111411765,0.4368,0.953823529,0.896617647,0,0.566666667,0.51760549,0.217919495,1
326,113,5,4.5,4,9.4,1,1,0.098705882,0.94,0.946830065,0.899705882,0,0.9,0.673452723,0.235584827,1
322,110,5,5,4,9.1,1,1,0.138176471,0.91,0.924575163,0.914264706,0,0.933333333,0.673874946,0.232579032,1
329,114,5,4,5,9.3,1,1,0.100088235,0.93,0.949215686,0.924411765,0,0.933333333,0.676433987,0.237330032,1
339,119,5,4.5,4,9.7,0,1,0.032852941,0.582,0.98624183,0.916764706,0,0.566666667,0.545633115,0.226451191,1
321,110,3,3.5,5,8.85,1,1,0.164455882,0.531,0.915261438,0.882279412,0,0.9,0.572106972,0.221222973,1
327,111,4,3,4,8.4,1,1,0.192117647,0.672,0.908921569,0.800441176,0,0.8,0.600845752,0.212138167,1
313,98,3,2.5,4.5,8.3,1,1,0.235911765,0.498,0.855751634,0.787647059,0,0.8,0.550922004,0.205111953,1
312,100,2,1.5,3.5,7.9,1,0,0.275058824,0.316,0.846993464,0.676911765,1,0.666666667,0.410966885,0.186127708,1
334,116,4,4,3,8,1,1,0.214117647,0.64,0.916339869,0.795588235,0,0.8,0.599769063,0.210610812,1
324,112,4,4,2.5,8.1,1,1,0.228117647,0.648,0.89875817,0.765735294,0,0.766666667,0.595892375,0.206558872,1
322,110,3,3,3.5,8,0,1,0.242352941,0.288,0.887908497,0.761764706,0,0.433333333,0.473810893,0.200385672,1
320,103,3,3,3,7.7,0,1,0.275294118,0.2772,0.856503268,0.727794118,0,0.4,0.465956166,0.195186266,1
316,102,3,2,3,7.4,0,1,0.312235294,0.2664,0.839803922,0.667352941,0,0.333333333,0.458305359,0.190482722,1
298,99,2,4,2,7.6,0,0,0.333882353,0.1824,0.410245098,0.709117647,1,0.4,-0.255803399,0.188998346,0
300,99,1,3,2,6.8,1,0,0.4,0.136,0.397892157,0.640588235,0,0.666666667,-0.353618301,0.179879871,0
311,104,2,2,2,8.3,0,0,0.240794118,0.1992,0.870457516,0.636176471,1,0.266666667,0.34168122,0.204812387,1
309,100,2,3,3,8.1,0,0,0.263852941,0.1944,0.850718954,0.729705882,1,0.4,0.359435643,0.199756414,1
307,101,3,4,3,8.2,0,0,0.259588235,0.2952,0.854869281,0.780735294,1,0.466666667,0.395700828,0.193303565,1
304,105,2,3,3,8.2,1,0,0.266823529,0.328,0.431519608,0.728529412,1,0.733333333,-0.310640523,0.18544375,0
315,107,2,4,3,8.5,1,0,0.2125,0.34,0.889379085,0.794117647,1,0.8,0.432030501,0.195576815,1
325,111,3,3,3.5,8.7,0,0,0.168382353,0.3132,0.916960784,0.781470588,1,0.433333333,0.39012915,0.203026467,1
325,112,4,3.5,3.5,8.92,0,0,0.147352941,0.42816,0.927071895,0.811970588,1,0.466666667,0.42298027,0.200276328,1
327,114,3,3,3,9.02,0,1,0.132488235,0.32472,0.937921569,0.765941176,0,0.4,0.465309908,0.20867938,1
316,107,2,3.5,3.5,8.64,1,0,0.196988235,0.3456,0.895026144,0.798352941,1,0.8,0.43123207,0.196918503,1
318,109,3,3.5,4,9.22,1,1,0.137658824,0.5532,0.921875817,0.839323529,0,0.833333333,0.56387512,0.218093157,1
328,115,4,4.5,4,9.16,1,1,0.116329412,0.7328,0.946346405,0.895176471,0,0.9,0.622407669,0.227888948,1
332,118,5,5,5,9.64,1,1,0.058682353,0.964,0.974601307,0.985117647,0,1,0.691418388,0.247567725,1
336,112,5,5,5,9.76,1,1,0.035482353,0.976,0.965856209,0.991058824,0,1,0.686574989,0.249652468,1
321,111,5,5,5,9.45,1,1,0.107808824,0.945,0.938039216,0.972279412,0,1,0.688675163,0.241488263,1
314,108,4,4.5,4,9.04,1,1,0.165129412,0.7232,0.909176471,0.881882353,0,0.9,0.62188549,0.222175354,1
314,106,3,3,5,8.9,0,1,0.178058824,0.3204,0.898954248,0.853382353,0,0.533333333,0.483580741,0.209266758,1
329,114,2,2,4,8.56,1,1,0.171694118,0.3424,0.92454902,0.755911765,0,0.733333333,0.502777778,0.210791667,1
327,112,3,3,3,8.72,1,1,0.161341176,0.5232,0.922366013,0.758441176,0,0.733333333,0.547850545,0.209262155,1
301,99,2,3,2,8.22,0,1,0.272288235,0.19728,0.42204902,0.676823529,0,0.333333333,-0.31857715,0.168093532,0
296,95,2,3,2,7.54,1,0,0.343576471,0.3016,0.40270915,0.656147059,1,0.666666667,-0.305261264,0.179661504,0
294,93,1,1.5,2,7.36,0,0,0.363576471,0.08832,0.39595098,0.575176471,0,0.233333333,-0.290773438,0.163609147,0
312,105,3,2,3,8.02,1,0,0.264047059,0.4812,0.864882353,0.679911765,1,0.666666667,0.457094118,0.179004767,1
340,120,4,5,5,9.5,1,1,0.05,0.76,0.983333333,0.9875,0,1,0.637222222,0.243232365,1
320,110,5,5,4.5,9.22,1,1,0.132235294,0.922,0.926614379,0.940794118,0,0.966666667,0.680823442,0.235890134,1
322,115,5,4,4.5,9.36,1,1,0.113552941,0.936,0.947130719,0.895764706,0,0.9,0.676110153,0.234253302,1
340,115,5,4.5,4.5,9.45,1,1,0.055,0.945,0.967777778,0.93625,0,0.933333333,0.674307407,0.242371771,1
319,103,4,4.5,3.5,8.66,0,1,0.187488235,0.41568,0.887522876,0.851058824,0,0.533333333,0.508269002,0.206210182,1
315,106,3,4.5,3.5,8.42,0,1,0.219911765,0.30312,0.883934641,0.842117647,0,0.533333333,0.48522712,0.20605602,1
317,107,2,3.5,3,8.28,0,1,0.228011765,0.19872,0.884006536,0.765088235,0,0.433333333,0.445403939,0.203642986,1
314,108,3,4.5,3.5,8.14,0,1,0.248247059,0.29304,0.879176471,0.834382353,0,0.533333333,0.488207529,0.204392365,1
316,109,4,4.5,3.5,8.76,1,1,0.185835294,0.7008,0.904581699,0.851352941,0,0.866666667,0.615099434,0.217527998,1
318,106,2,4,4,7.92,1,1,0.259247059,0.3168,0.87020915,0.831823529,0,0.866666667,0.521547538,0.213813406,1
299,97,3,5,3.5,7.66,0,0,0.326370588,0.27576,0.408957516,0.836352941,1,0.566666667,-0.301865063,0.187743345,0
298,98,2,4,3,8.03,0,0,0.296194118,0.19272,0.416022876,0.769867647,1,0.466666667,-0.260239277,0.191351253,0
301,97,2,3,3,7.88,1,0,0.302388235,0.3152,0.413604575,0.718323529,1,0.733333333,-0.311117298,0.184205241,0
303,99,3,2,2.5,7.66,0,0,0.317358824,0.27576,0.413696078,0.639294118,1,0.3,-0.263627503,0.184853721,0
304,100,4,1.5,2.5,7.84,0,0,0.299011765,0.37632,0.418575163,0.619529412,1,0.266666667,-0.2826042,0.182811821,0
306,100,2,3,3,8,0,0,0.28,0.192,0.844444444,0.725,1,0.4,0.361051852,0.198594817,1
331,120,3,4,4,8.96,1,1,0.127717647,0.5376,0.956509804,0.867382353,0,0.866666667,0.571211242,0.223453943,1
332,119,4,5,4.5,9.24,1,1,0.097741176,0.7392,0.964045752,0.950117647,0,0.966666667,0.633605926,0.235424998,1
323,113,3,4,4,8.88,1,1,0.1564,0.5328,0.926555556,0.8595,0,0.866666667,0.568961481,0.219645928,1
322,107,3,3.5,3.5,8.46,1,1,0.198788235,0.5076,0.894908497,0.798264706,0,0.8,0.554873638,0.209741245,1
312,105,2,2.5,3,8.12,0,1,0.254870588,0.19488,0.868215686,0.707411765,0,0.366666667,0.437383948,0.198404138,1
314,106,2,4,3.5,8.25,0,1,0.238088235,0.198,0.877287582,0.812132353,0,0.5,0.455204139,0.206167815,1
317,104,2,4.5,4,8.47,0,0,0.210297059,0.20328,0.882006536,0.869838235,1,0.566666667,0.380409351,0.205623752,1
326,112,3,3.5,3,9.05,1,1,0.132264706,0.543,0.932385621,0.790955882,0,0.766666667,0.553316558,0.214256251,1
316,110,3,4,4.5,8.78,1,1,0.183976471,0.5268,0.908026144,0.876852941,0,0.9,0.573828932,0.219474,1
329,111,4,4.5,4.5,9.18,1,1,0.1117,0.7344,0.936882353,0.921411765,0,0.933333333,0.623841569,0.23036506,1
338,117,4,3.5,4.5,9.46,1,1,0.059564706,0.7568,0.971705882,0.885029412,0,0.866666667,0.61695451,0.231902465,1
331,116,5,5,5,9.38,1,1,0.086829412,0.938,0.959398693,0.977882353,0,1,0.687358083,0.243730783,1
304,103,5,5,4,8.64,0,1,0.227482353,0.5184,0.436075163,0.889529412,0,0.6,-0.434351024,0.192216425,0
305,108,5,3,3,8.48,0,1,0.239294118,0.5088,0.881686275,0.736264706,0,0.4,0.525509281,0.196786894,1
321,109,4,4,4,8.68,1,1,0.180505882,0.6944,0.906816993,0.853029412,0,0.866666667,0.612701786,0.217922413,1
301,107,3,3.5,3.5,8.34,1,1,0.261664706,0.5004,0.435160131,0.779823529,0,0.8,-0.445645839,0.192078471,0
320,110,2,4,3.5,8.56,0,1,0.194352941,0.20544,0.904614379,0.824294118,0,0.5,0.453785481,0.210315844,1
311,105,3,3.5,3,8.45,1,0,0.227073529,0.507,0.878235294,0.764926471,1,0.766666667,0.472476471,0.183872581,1
310,106,4,4.5,4.5,9.04,1,1,0.175764706,0.7232,0.899699346,0.903941176,0,0.933333333,0.626625708,0.223565744,1
299,102,3,4,3.5,8.62,0,0,0.241947059,0.31032,0.431901961,0.810352941,1,0.5,-0.287273307,0.188900172,0
290,104,4,2,2.5,7.46,0,0,0.363705882,0.35808,0.410934641,0.624735294,1,0.3,-0.29603763,0.179560397,0
296,99,2,3,3.5,7.28,0,0,0.366211765,0.17472,0.403931373,0.724647059,1,0.433333333,-0.264601935,0.188597421,0
327,104,5,3,3.5,8.84,1,1,0.1498,0.884,0.904143791,0.786441176,0,0.766666667,0.641033638,0.219729642,1
335,117,5,5,5,9.56,1,1,0.058058824,0.956,0.972098039,0.985323529,0,1,0.688467712,0.247236614,1
334,119,5,4.5,4.5,9.48,1,1,0.068729412,0.948,0.974006536,0.932588235,0,0.933333333,0.680136645,0.241603847,1
310,106,4,1.5,2.5,8.36,0,0,0.237764706,0.40128,0.87703268,0.636941176,1,0.266666667,0.39657593,0.196234839,1
308,108,3,3.5,3.5,8.22,0,1,0.255364706,0.29592,0.875960784,0.781970588,0,0.466666667,0.480489778,0.200035624,1
301,106,4,2.5,3,8.47,0,0,0.250155882,0.40656,0.435937908,0.708073529,1,0.366666667,-0.29735356,0.182884665,0
300,100,3,2,3,8.66,1,1,0.235882353,0.5196,0.430281046,0.687088235,0,0.666666667,-0.424503965,0.179648982,0
323,113,3,4,3,9.32,1,1,0.1146,0.5592,0.941222222,0.8205,0,0.8,0.560312593,0.218504935,1
319,112,3,2.5,2,8.71,1,1,0.182797059,0.5226,0.914189542,0.677308824,0,0.633333333,0.536741133,0.201388133,1
326,112,3,3.5,3,9.1,1,1,0.127470588,0.546,0.934052288,0.792205882,0,0.766666667,0.553382571,0.214722163,1
333,118,5,5,5,9.35,1,1,0.08425,0.935,0.965915033,0.978602941,0,1,0.687665577,0.244087632,1
339,114,5,4,4.5,9.76,1,1,0.026870588,0.976,0.974352941,0.918264706,0,0.9,0.672720784,0.244182172,1
303,105,5,5,4.5,8.65,0,1,0.229132353,0.519,0.438529412,0.914044118,0,0.633333333,-0.440233333,0.195334887,0
309,105,5,3.5,3.5,8.56,0,1,0.222047059,0.5136,0.879941176,0.791205882,0,0.466666667,0.531453333,0.199953713,1
323,112,5,4,4.5,8.78,0,1,0.1659,0.5268,0.920444444,0.882,0,0.566666667,0.546065185,0.211351842,1
333,113,5,4,4,9.28,1,1,0.091105882,0.928,0.94969281,0.876852941,0,0.866666667,0.664494553,0.23379451,1
314,109,4,3.5,4,8.77,1,1,0.190064706,0.7016,0.902954248,0.825132353,0,0.833333333,0.611242309,0.214761858,1
312,103,3,5,4,8.45,0,1,0.224588235,0.3042,0.873660131,0.890661765,0,0.6,0.493239172,0.209368295,1
316,100,2,1.5,3,8.16,1,1,0.2416,0.3264,0.859581699,0.661352941,0,0.633333333,0.484263355,0.195545476,1
326,116,2,4.5,3,9.08,1,1,0.129388235,0.3632,0.944496732,0.841705882,0,0.833333333,0.517225795,0.222186828,1
318,109,1,3.5,3.5,9.12,0,1,0.147011765,0.10944,0.918542484,0.811823529,0,0.466666667,0.415611015,0.216257704,1
329,110,2,4,3,9.15,1,1,0.114602941,0.366,0.933104575,0.820661765,0,0.8,0.506641612,0.21975176,1
332,118,2,4.5,3.5,9.36,1,1,0.086023529,0.3744,0.965267974,0.878117647,0,0.866666667,0.519767146,0.229118543,1
331,115,5,4,3.5,9.44,1,1,0.080988235,0.944,0.958620915,0.854382353,0,0.833333333,0.663979695,0.233803035,1
340,120,4,4.5,4,9.92,1,1,0.008,0.7936,0.997333333,0.923,0,0.9,0.625555556,0.240716794,1
325,112,2,3,3.5,8.96,1,1,0.143529412,0.3584,0.928405229,0.787970588,0,0.766666667,0.505793551,0.214994615,1
320,113,2,2,2.5,8.64,1,1,0.186823529,0.3456,0.915614379,0.676294118,0,0.633333333,0.490913638,0.202503805,1
315,105,3,2,2.5,8.48,0,1,0.214352941,0.30528,0.883156863,0.668617647,0,0.3,0.451566693,0.196644379,1
326,114,3,3,3,9.11,1,1,0.126511765,0.5466,0.939941176,0.767455882,0,0.733333333,0.550210588,0.21297144,1
339,116,4,4,3.5,9.8,1,1,0.022882353,0.784,0.98124183,0.869264706,0,0.833333333,0.613040959,0.233977714,1
311,106,2,3.5,3,8.26,1,1,0.244452941,0.3304,0.874679739,0.760176471,0,0.766666667,0.508689499,0.20591005,1
334,114,4,4,4,9.43,1,1,0.073641176,0.7544,0.95845098,0.881338235,0,0.866666667,0.616238301,0.230002658,1
332,116,5,5,5,9.28,1,1,0.093835294,0.928,0.957045752,0.976117647,0,1,0.685791024,0.24272743,1
321,112,5,5,5,9.06,1,1,0.144629412,0.906,0.927816993,0.962529412,0,1,0.684588061,0.236854759,1
324,105,3,3,4,8.75,0,1,0.166176471,0.315,0.900980392,0.806985294,0,0.466666667,0.47046732,0.206662966,1
326,108,3,3,3.5,8.89,0,1,0.147605882,0.32004,0.915941176,0.786955882,0,0.433333333,0.466579686,0.207348876,1
312,109,3,3,3,8.69,0,1,0.202564706,0.31284,0.898326797,0.746661765,0,0.4,0.468728009,0.201362171,1
315,105,3,2,2.5,8.34,0,1,0.227323529,0.30024,0.878490196,0.665117647,0,0.3,0.452157072,0.195706201,1
309,104,2,2,2.5,8.26,0,1,0.249311765,0.19824,0.867163399,0.658705882,0,0.3,0.427287181,0.196366243,1
306,106,2,2,2.5,8.14,0,1,0.2674,0.19536,0.865777778,0.6535,0,0.3,0.430556741,0.195657417,1
297,100,1,1.5,2,7.9,0,0,0.309911765,0.0948,0.416143791,0.590882353,1,0.233333333,-0.20483207,0.196348812,0
315,103,1,1.5,2,7.86,0,0,0.271794118,0.09432,0.856934641,0.603117647,1,0.233333333,0.313062414,0.210244253,1
298,99,1,1.5,3,7.46,0,0,0.346152941,0.08952,0.407911765,0.630617647,1,0.3,-0.219405333,0.194793025,0
318,109,3,3,3,8.5,0,1,0.205,0.306,0.897875817,0.746323529,0,0.4,0.4674061,0.201350891,1
317,105,3,3.5,3,8.56,0,1,0.201905882,0.30816,0.887784314,0.772088235,0,0.433333333,0.469193778,0.20202502,1
329,111,4,4.5,4,9.01,1,1,0.12815,0.7208,0.931215686,0.892161765,0,0.9,0.618083791,0.226012125,1
322,110,5,4.5,4,8.97,0,1,0.150488235,0.5382,0.92024183,0.886014706,0,0.566666667,0.545262527,0.212493203,1
302,102,3,3.5,5,8.33,0,1,0.2601,0.29988,0.428539216,0.855308824,0,0.566666667,-0.377363163,0.187513251,0
313,102,3,2,3,8.27,0,1,0.238673529,0.29772,0.865862745,0.686897059,0,0.333333333,0.455553438,0.194885937,1
311,99,2,2.5,3,7.98,0,1,0.270064706,0.19152,0.845901961,0.703176471,0,0.366666667,0.434250562,0.196010975,1
312,101,2,2.5,3.5,8.04,1,1,0.262211765,0.3216,0.854437908,0.730411765,0,0.733333333,0.500632854,0.201285369,1
334,117,5,4,4.5,9.07,1,1,0.109005882,0.907,0.954784314,0.897338235,0,0.9,0.669331111,0.233821184,1
322,110,4,4,5,9.13,1,1,0.135335294,0.7304,0.925575163,0.915014706,0,0.933333333,0.625550632,0.227914025,1
323,113,4,4,4.5,9.23,1,1,0.12315,0.7384,0.938222222,0.89325,0,0.9,0.623399259,0.227061401,1
321,111,4,4,4,8.97,1,1,0.153126471,0.7176,0.922039216,0.860279412,0,0.866666667,0.616226536,0.221121045,1
320,111,4,4.5,3.5,8.87,1,1,0.165176471,0.7096,0.91772549,0.857044118,0,0.866666667,0.615897386,0.219853352,1
329,119,4,4.5,4.5,9.16,1,1,0.113635294,0.7328,0.958437908,0.920911765,0,0.933333333,0.629639129,0.231191422,1
319,110,3,3.5,3.5,9.04,0,1,0.151835294,0.32544,0.919633987,0.810558824,0,0.466666667,0.474687181,0.208800567,1
309,108,3,2.5,3,8.12,0,1,0.262035294,0.29232,0.873607843,0.705205882,0,0.366666667,0.466539974,0.195580412,1
307,102,3,3,3,8.27,0,1,0.253267647,0.29772,0.859980392,0.732485294,0,0.4,0.466856967,0.195877128,1
300,104,3,3.5,3,8.16,0,1,0.28,0.29376,0.427503268,0.749588235,0,0.433333333,-0.361637264,0.173729688,0
305,107,2,2.5,2.5,8.42,0,1,0.244676471,0.20208,0.876908497,0.684764706,0,0.333333333,0.434425168,0.198197618,1
314,110,3,4,4,8.8,0,1,0.187294118,0.3168,0.906732026,0.850882353,0,0.533333333,0.48695756,0.209325728,1
316,106,2,2.5,4,8.32,0,1,0.226729412,0.19968,0.881581699,0.765352941,0,0.433333333,0.444692532,0.203469033,1
327,113,4,4.5,4.5,9.11,1,1,0.123832353,0.7288,0.938143791,0.918191176,0,0.933333333,0.625662266,0.229364008,1
317,107,3,3.5,3,8.68,1,1,0.190717647,0.5208,0.897339869,0.775088235,0,0.766666667,0.552369063,0.207914228,1
335,118,5,4.5,3.5,9.44,1,1,0.069882353,0.944,0.970875817,0.882323529,0,0.866666667,0.669188061,0.237132874,1
331,115,5,4.5,3.5,9.36,1,1,0.088776471,0.936,0.955954248,0.877382353,0,0.866666667,0.66771878,0.234593121,1
324,112,5,5,5,9.08,1,1,0.134729412,0.908,0.931424837,0.965235294,0,1,0.683659956,0.237829182,1
324,111,5,4.5,4,9.16,1,1,0.127105882,0.916,0.931313725,0.892235294,0,0.9,0.669890719,0.231728775,1
323,110,5,4,5,8.98,1,1,0.1469,0.898,0.921555556,0.912,0,0.933333333,0.672014815,0.23134937,1
322,114,5,4.5,4,8.94,1,1,0.153329412,0.894,0.930352941,0.885264706,0,0.9,0.670203137,0.228827862,1
336,118,5,4.5,5,9.53,1,1,0.058211765,0.953,0.974856209,0.960308824,0,0.966666667,0.683776166,0.244909308,1
316,109,3,3.5,3,8.76,0,1,0.185835294,0.31536,0.904581699,0.776352941,0,0.433333333,0.471648767,0.204152153,1
307,107,2,3,3.5,8.52,1,1,0.230694118,0.3408,0.882202614,0.763735294,0,0.766666667,0.510084619,0.206875345,1
306,105,2,3,2.5,8.26,0,1,0.2566,0.19824,0.867,0.7065,0,0.366666667,0.438344,0.198078334,1
